species	dex	kind	upstream_path	git_blob	size	sha256	local_path
TURTWIG	387	back	graphics/pokedex/pokeback/0387.png	6e5411e68361fdebd72db409e1f37da8c90a2433	723	d8f1d69ffc519bf604c319c92421cd7ea40994d3f9b0b3e2a59015822f9c98b8	assets/starter_species_67/battle/normal/back/0387.png
TURTWIG	387	back_shiny	graphics/pokedex/pokebackshiny/0387s.png	bf05ecfaa21e86f6b253640407c3b6417c14c1c5	723	55e7b921a5b2ee21f60c7b54c0d5f61e10f1eb9a18784a6b967f316703221a1d	assets/starter_species_67/battle/shiny/back/0387.png
TURTWIG	387	character	graphics/characters/0387.png	3f2950291452b1510a2a3494b319f2e1ca75d24c	1472	74fd19f629449ff5e6d83a83e8c23a3af62d8b8608130915e8647073a35d5085	assets/starter_species_67/source/characters/normal/0387.png
TURTWIG	387	character_shiny	graphics/characters/0387s.png	e8da22c410b9b0b55af2255673bfd6108bf881dc	1474	3ab91a95ee1a9f58040c42e1e2a0f5a7072de55edf062fe78715799d7aa05060	assets/starter_species_67/source/characters/shiny/0387.png
TURTWIG	387	cry	audio/se/cries/0387.ogg	aa1e90a4b207bf69340a6190a837ace79d3e4982	9217	f8b2a209282132ba6dd5628276cafc8836063406eceae42dec313897df86e72a	assets/starter_species_67/cries/0387.ogg
TURTWIG	387	data	Data/Studio/pokemon/turtwig.json	8cb677a0ade5dd0242c62a2e9b91ba6bb3bbdaba	8183	56ecae22700b38f13827efccedb6943cb2070be8a864c7c11b48f8451ab54ba9	assets/starter_species_67/source/pokemon/turtwig.json
TURTWIG	387	front	graphics/pokedex/pokefront/0387.png	f0b9c1ea9731d004b0280d8f6989d84a39fdd319	774	ddf4b7c40feedede3f444549d44fecde7da016ca2ed6493d6b1d095a35feae5c	assets/starter_species_67/battle/normal/front/0387.png
TURTWIG	387	front_shiny	graphics/pokedex/pokefrontshiny/0387s.png	335a10885d0e719648299802b8c766665b541a15	771	31fd6345f2b402426b5ce111b8f4ccbfe303facea1308c94d7c307fe2a8aa2e5	assets/starter_species_67/battle/shiny/front/0387.png
TURTWIG	387	icon	graphics/pokedex/pokeicon/0387.png	259205d4727621457cd372b57302572ac9f32079	977	e4a6806bd10c5fdb223d5e8219eac0b5563df893b2380e279fdfeabf2349ea26	assets/starter_species_67/source/icons/normal/0387.png
TURTWIG	387	icon_shiny	graphics/pokedex/pokeicon/0387s.png	a5b2ca5d3010f6daf2cbc1f317ef79744dd818bf	531	34bb8b0e82afad329aa1b355bf04889b4a1877f8bb909c46009e6935320ce3b5	assets/starter_species_67/source/icons/shiny/0387.png
GROTLE	388	back	graphics/pokedex/pokeback/0388.png	6b39952c7a9910ad1210a89fe8acb9849d69f435	1446	db2b983fd64afefd7334663eb72bd446f7c3484a152c6e57d3448a2b2539a5d9	assets/starter_species_67/battle/normal/back/0388.png
GROTLE	388	back_shiny	graphics/pokedex/pokebackshiny/0388s.png	2b869fec56ef3a65656deff51d51f0e9d8228d92	1427	a2ddfc0349427e280af9a82874fe9c2d68529bf0f1559cbbd00deb2a8efafb77	assets/starter_species_67/battle/shiny/back/0388.png
GROTLE	388	character	graphics/characters/0388.png	e7ea4807e23cd06d912e4d30601778d7e810f1e1	1992	355287f065e3ee201f35e581e276242b752d51b2b512402bd36579f8ab6f51e7	assets/starter_species_67/source/characters/normal/0388.png
GROTLE	388	character_shiny	graphics/characters/0388s.png	487e75385f6e5fc40784c47e3d44a2b5ff8b412b	1997	99c727cbad1deeb8b0c555bb80bc70d6fec63700cb7eff2973ad6351ec0db76e	assets/starter_species_67/source/characters/shiny/0388.png
GROTLE	388	cry	audio/se/cries/0388.ogg	a0210430a8de748ed501301a49ea8e18e5992bda	9713	319e4b581a95609df542444789b898bd9c12a3ad209fb188d57b67c009abecd1	assets/starter_species_67/cries/0388.ogg
GROTLE	388	data	Data/Studio/pokemon/grotle.json	80c05423e0657f291a5f791b1953927eb8e6092c	6845	325b59ace561ec97f01e005879be927b20dd4487c4b96aa3d8c35e0552b52a4d	assets/starter_species_67/source/pokemon/grotle.json
GROTLE	388	front	graphics/pokedex/pokefront/0388.png	49460a0f2823f41afa264f48921810d8011a09ea	1547	c39b17255087d957f74858b4ec9a0898c202ebee8876f612bf34de920405a790	assets/starter_species_67/battle/normal/front/0388.png
GROTLE	388	front_shiny	graphics/pokedex/pokefrontshiny/0388s.png	44619a915683f8c00118d179a4e62972aeaf63ab	1545	254af1330572cb7ee82e147df275d0596441a5c4d49a44bf405c5fbc6495980a	assets/starter_species_67/battle/shiny/front/0388.png
